ID,"Title","NPCs","Status","Responsible Author","Description"
163,"Glorious Bounty",,,"Estralis","Daily quest by Palis Nestros - quest countdown"
164,"Glorious Bounty",,,"Estralis","Daily quest by Palis Nestros - quest cooldown"
165,"Cooldown Runewick Daily",,,"Merung","Cooldown for Runewick quest"
166,"Homeland - Cadomyr",,,"Estralis","Show a message if the player leaves the homeland for the first time"
167,"Homeland - Galmair",,,"Estralis","Show a message if the player leaves the homeland for the first time"
168,"Homeland - Runewick",,,"Estralis","Show a message if the player leaves the homeland for the first time"
170,"Pillar",,,"merung","donate a coin and get a shield"
181,"Informant Spy",,,"Caldarion","Daily quest by Bula Glasha - quest selector"
182,"Informant Spy",,,"Caldarion","Daily quest by Bula Glasha - quest countdown"
183,"Informant Spy",,,"Caldarion","Daily quest by Bula Glasha - quest cooldown"
184,"The Researcher",,,"Caldarion","Daily quest by Maelyrra Umrielyth - quest selector"
185,"The Researcher",,,"Caldarion","Daily quest by Maelyrra Umrielyth - quest countdown"
186,"The Researcher",,,"Caldarion","Daily quest by Maelyrra Umrielyth - quest cooldown"
191,"Banning",,,"merung","banning individuals"
192,"Banning",,,"merung","banning individuals"
193,"Banning",,,"merung","banning individuals"
194,"Banning",,,"merung","banning individuals"
195,"Banning",,,"merung","banning individuals"
196,"Banning",,,"merung","banning individuals"
197,"Banning",,,"merung","banning individuals"
198,"Banning",,,"merung","banning individuals"
199,"Faction system New Illarion",,,"Lillian","holds the info about the current factionmembership (0-none, 1-cadomyr, 2-runewick, 3-galmair)"
200,"Faction system New Illarion",,,"Lillian","holds the special rank"
201,"Faction system New Illarion",,,"Ardian","201 holds the counter how often the faction was switched and 202 the faction rankpoints(all values encoded, see base_factions.lua )"
202,"Faction system New Illarion",,,"Ardian","201 holds the counter how often the faction was switched and 202 the faction rankpoints(all values encoded, see base_factions.lua )"
203,"Endurance Cave Quest ",,,"Ardian/Faladron","Endurance Cave: Number Chain the player has to go to reach the end boss"
204,"Endurance Cave Quest ",,,"Ardian/Faladron","Endurance Cave: Status how much correct moves of the number chain the player has done"
205,"Runewick garbage bin Quest",,,"Miriam","Throw something in the recycle mechanism"
206,"Galmair garbage bin Quest",,,"Miriam","Throw something in the garbage bin"
207,"notary NPC (Runewick)",,,"Miriam","control variable before leaving town"
208,"notary NPC (Galmair)",,,"Miriam","control variable before leaving town"
209,"notary NPC (Cadomyr)",,,"Miriam","control variable before leaving town"
301,"gathering trophey",,,"Rincewind","Thud's : gather different items and earn nice items"
302,"the bowstring",,,"Rincewind","Mo'rurt und Jack Stout"
303,"family afairs",,,"Rincewind","Rose"
304,"The pegleg",,,"Rincewind","Julio canalie"
305,"Spy the Pirates",,,"Rincewind","Spy the pirates"
306,"The first drink is for free",,,"Rincewind","Free beer by Hagar"
307,"Tale's and Swords",,,"Alexander Knight","A old salk. Soldier tells you about his experiances in war while drinking a lot of your beer. Finally he gifts you his sword."
308,"Dailyforge",,,"Rincewind","Alice"
309,"Tutorial",,,"Rincewind","Noobia: Henry Cunnigan's station (Talk to NPCs)"
310,"Tutorial",,,"Rincewind","Noobia: Aldania's station (GUI)"
311,"Tutorial",,,"Rincewind","Noobia: Groknar's station (fighting)"
312,"Tutorial",,,"Rincewind","Noobia: Nargon Hammerfist's station (gathering)"
313,"Tutorial",,,"Rincewind","Noobia: Nimbur Goldhand's station (crafting)"
314,"Tutorial",,,"Rincewind","Noobia: Viola's station (chosing a faction)"
315,"Tutorial",,,"Rincewind","???"
316,"Trollop",,,"Rincewind","Rose"
317,"Writing history",,,"Estralis, Miriam","Runewick message quest, Mirarie Bragolin asks for help"
318,"The Idler's Request/Der Auftrag des Studenhockers",,,"Miriam","Jonathan Idler want so see an elf, dwarf and a orcess"
319,"Tutorial",,,"Estralis","Noobia: Nimbur Goldhand's station (crafting), anti exploit counter"
320,"Tutorial - Explorer Stone",,,"martin/ Lillian","Find places (stones) spread all over the world, the more you find the better it is";" receive rewards for them"
342,"Cadomyr Starter Quest",,,"Grokk","New player quest chain for the Cadomyr faction"
343,"Galmair Starter Quest",,,"Grokk","New player quest chain for the Galmair faction"
350,"teacher",,,"merung","Initiation - alchemy"
351,"teacher",,,"merung","Initiation - alchemy"
352,"teacher",,,"merung","Initiation - alchemy"
401,,,,"Estralis/pharse","Priest system: Devotion"
402,,,,"Estralis/pharse","Priest system: Priesthood"
450,,,,"merung","slime feeding quest runewick"
500,,,,"Caldarion","Elstree ranger"
520,"Gorgophone's Nest",,,"Caldarion","A few hunting quests down Gorgophone's nest"
521,"Spider Scavenger Hunt",,,"Caldarion","A collection quests down Gorgophone's nest"
522,"Gorgophone's Nest Events",,,"Caldarion","Oneshot events in Gorgophone's nest"
557,"The way of the ham",,,"martin/Nitram","A npc sends you to get a delievery of ham"
558,"flora??? But alos Fredegar Bumbleroot",,,,
589,"The Tactics Teacher",,,"Ardian","A npc (Arkos Seldaran) teaches you tactics if you bring him what he wants"
600,"orc researcher/bragon priest",,,"envi","a npc ask for a question, another npc has the answer"
601,"orc storyteller",,,"envi","orc tells old stories"
602,"orc storyteller quest",,,"envi","orc asks for beer"
603,"orc researcher/bragon priest",,,"envi","a npc ask for a question, another npc has the answer"
604,"hummy quest elesil",,,"envi","hummy introduces player to elesil"
605,"hummy quest frizza",,,"envi","hummy introduces player to frizza"
606,"hummy quest iradona",,,"envi","hummy introduces player to iradona"
607,"hummy quest tronuk",,,"envi","hummy introduces player to tronuk"
610,"Cadomyr rulers",,,"envi","Keeps track which rulers of Cadomyr the player read"
611,,,,"envi",
613,"Galmair treasure map",,,"envi","longtime_cooldown"
614,"Galmair counterfeiter",,,"envi","longtime_cooldown"
612,"Wonderland",,,"envi","Player is caught in Wonderland"
620,"Information quests (Runewick)",,,"envi","Elesil sends player to Numilia"
621,"Information quests (Runewick)",,,"envi","Elesil quests"
622,"Information quests (Runewick)",,,"envi","Numilia quests"
623,"Information quests (Runewick)",,,"envi","Archmage has quest reward for Numilia"
630,"Information quests (Galmair)",,,"envi","Iradona sends player to Lotta"
631,"Information quests (Galmair)",,,"envi","Iradona quests"
632,"Information quests (Galmair)",,,"envi","Lotta quests"
633,"Information quests (Galmair)",,,"envi","Don has quest reward for Lotta"
640,"Information quests (Cadomyr)",,,"envi","Frizza sends player to Ruzusss"
641,"Information quests (Cadomyr)",,,"envi","Frizza quests"
642,"Information quests (Cadomyr)",,,"envi","Ruzusss quests"
643,"Information quests (Cadomyr)",,,"envi","Queen has quest reward for Ruzusss"
650,"Information quests (The Hemp Necktie Inn)",,,"envi","Either Numilia, Ruzusss, or Lotta send player to Wulfgorda "
652,"Information quests (The Hemp Necktie Inn)",,,"envi","Wulfgorda quests"
660,"Galmair bridges",,,"envi"," Recovery/protection time ...no attack by bandits"
661,"Elstree Forest",,,"envi","no chance that fairies drop anything"
662,"Seafearing",,,"envi","lte for seafearing script"
663,"Seafearing",,,"envi","status for seafearing script"
664,"Vision",,,"envi","lte for vision script"
665,"Vision",,,"envi","status for vision script"
666,"Mirror of Death (death counter)",,,"merung","counts how often the char died; can be reduced by sacraficing to Cherga"
667,"Vision",,,"envi","status for bookrests script"
668,"Vision",,,"envi","status for skull script"
669,"Vision",,,"envi","status for grave script"
670,"Crafter development quests",,,"banduk/envi","Truciolo Pialla asks to gather items for carpentry"
671,"Bear",,,"banduk","Feat the bear"
672,"Lotte Silberstreif",,,"banduk","Another game-npc"
673,"Bear",,,"banduk","longtime_cooldown for bear-quest 671"
674,,,,"banduk",
675,,,,"banduk",
676,,,,"banduk",
677,,,,"banduk",
678,,,,"banduk",
679,"Gambler Xiao Gongzou",,,"banduk","Contains two games for players"
680,"Vision",,,"envi","status for stonechamber script"
681,"Vision",,,"envi","status for stonechamber script"
682,"Bjolmur",,,"envi","status for bjolmur script"
700,"Geld_in_Hecke",,,"Miriam","Player finds info about money in the hedge on a barrel"
701,"Ask for me (Runewick message giver quest)",,,"Miriam","Zarissa asks player to talk to different NPCs"
702,"Galmair message giver quest",,,"Lillian","Charwis Irongate asks player to talk to different NPCs"
703,"Cadomyr message giver quest",,,"Zot","Jakob Lindorn asks player to talk to different NPC's"
704,"Cadomyr Crafting Quest",,,"Zot","Berri Firegold asks players to gather materials for smithing/finesmithing and crafting items"
705,"Cadomyr Crafting Quest",,,"Zot","Lilli Gallfing asks players to gather materials for tailoring and crafting items"
706,"Cadomyr Crafting Quest",,,"Zot","Gerry Deloid asks players to gather materials for candle making"
707,"Cadomyr Crafting Quest",,,"Zot","Zlatxhol asks players to gather materials for glassblowing and making bricks"
708,"Galmair Crafting Quest",,,"Zot","Thorgrem Silverbeard asks players to gather materials for smithing/finesmithing and crafting items"
709,"Galmair Crafting Quest",,,"Zot","Seleseth asks players to gather materials for brick making/gem grinding/masoning"
710,"Galmair Crafting Quest",,,"Zot","Seleseth asks players to gather materials for carpenting"
711,"Galmair Crafting Quest",,,"Zot","Tony Spirotelli asks players to gather materials for farming/baking/cooking"
712,"Galmair message giver quest",,,"Zot","Joey Licavoli asks player to talk to different NPC's or something like that"
713,"Runewick Crafting Quest",,,"Zot","tbd asks players to gather materials for carpenting"
714,"Runewick Crafting Quest",,,"Zot","tbd aks players to gather materials for cooking/farming"
715,"Runewick Crafting Quest",,,"Zot","tbds asks players to gather materials for tailoring"
716,"Runewick Crafting Quest",,,"Zot","tbds asks players to gather materials for candle making and glass blowing"
801,"Arena",,,"Lillian","Arena"
802,"Arena",,,"Lillian","Arena"
803,"Arena",,,"Lillian","Arena"
804,"Arena Rewards",,,"Lillian","Arena Rewards"
805,"Arena Rewards",,,"Lillian","Arena Rewards"
806,"Arena Rewards",,,"Lillian","Arena Rewards"
811,"Licence Cadomyr",,,"envi","longtime_cooldown"
812,"Licence Runewick",,,"envi","longtime_cooldown"
813,"Licence Galmair",,,"envi","longtime_cooldown"
820,"Noobhelper in Runewick",,,"Lillian","Florain Dreyndel tells the player where to find easy quests"
850,"new player help counter",,,"Merung/Vilarion","counts how often the char warped to new players to assist them"
851,"new player help preferences",,,"Merung/Vilarion","0 == available to help new players, 1 == not available for this session"
999,"An ursurper to the Throne (Cadomyr)",,,"Mr.Cromwell/Faladron","Baron Hastings & his henchman Victor Tolenor try to harm Cadomyr and its ""unrightful"" Queen"
1000-1999,"Recipes learning (alchemy)",,,"merung","used to remember if a char has learned a certain recipe"
2000,"factionpoints",,,"envi","used to distribute faction points"
10000-10009,"reserved",,,,
999,"An ursurper to the Throne (Cadomyr)",,,"Mr.Cromwell/Faladron","Baron Hastings & his henchman Victor Tolenor try to harm Cadomyr and its ""unrightful"" Queen"
10000,"Gravestone",,,,
10001,"Hagar Coin",,,,"Hagar Wernson is the npc to give out the quest"
10002,,,,,
11111,"test-quest",,,"envi","testing quest editor"
11112,"Wonderland",,,"envi","testing quest editor"
